Order_ID,Customer_name,Gender,Age,Meal,Residence_in_busy_location,Google_maps_accuracy,Cuisine,Item,Good_road_condition,Delivered_temperature,Location,Subscription,Subscription Cost,Mode,Quantity_size,Freshness,Food_quality,Customer Placed Order time,Order Accepted by Restaurant time,Driver at Restaurant Datetime,Delivered to Consumer Datetime,Wait Time in minutes,Meal Price,Order Quantity,delivery fee,Delivery fee,Total Price,Service Fee,Tax,Final Price,Number of Claims,Complain Resolved,Complaints Resolved,Number of Open Complaints,Amount of Refund for resolved complaint
98339,James Sharpe,Male,22,Dinner,No,No,Indian,Tandoori Chicken,Yes,Room,Rural,Free,0.0,Car,Medium,High,Good,2023-01-20 14:17:46,2023-01-20 14:21:05,2023-01-20 14:29:21,2023-01-20 14:42:21,24,13.22,4,,3.99,52.88,5.816800000000001,7.6676,70.3544,2,10,2,0,30.2738
65577,Evelyn Escovedo,Female,53,Dinner,Yes,No,Greek,Greek Coffee,No,Cold,Urban,Premium,101.9,Car,Small,High,Good,2023-01-13 11:05:36,2023-01-13 11:08:47,2023-01-13 11:16:28,2023-01-13 11:32:11,26,3.53,2,0.0,,7.06,0.7766,1.0236999999999998,,8,10,6,2,24.2511
32809,Bernard Wolstenholme,Male,34,Dinner,No,Yes,Mexican,Burrito,No,Cold,Rural,Premium,101.9,Car,Medium,Low,Bad,2023-01-31 16:22:32,2023-01-31 16:27:34,2023-01-31 16:35:22,2023-01-31 16:51:08,28,10.64,5,0.0,,53.2,5.852,7.7139999999999995,,16,8,16,0,194.9248
32811,Mary Garett,Female,20,Breakfast,Yes,No,Chinese,Kung Pao Chicken,Yes,Room,Rural,Basic,50.9,Car,Medium,High,Good,2023-01-09 13:27:50,2023-01-09 13:31:53,2023-01-09 13:41:49,2023-01-09 13:57:43,29,19.09,2,2.99,,38.18,4.1998,5.536099999999999,,7,13,7,0,153.00635
98350,Arlene Gehrke,Female,20,Lunch,Yes,No,Mexican,Enchiladas,No,Room,Urban,Basic,50.9,Bike,Medium,High,Good,2023-01-07 06:16:40,2023-01-07 06:20:37,2023-01-07 06:29:07,2023-01-07 06:41:52,25,12.02,5,1.99,,60.099999999999994,6.611,8.7145,,11,4,7,4,96.3403
65583,Garth Huffines,Male,45,Lunch,Yes,No,Thai,Spring Roll,Yes,Hot,Rural,Monthly Premium,9.99,Car,Small,Low,Bad,2023-01-11 03:19:08,2023-01-11 03:23:26,2023-01-11 03:30:59,2023-01-11 03:43:26,24,4.89,4,0.0,,19.56,2.1515999999999997,2.8362,,3,0,2,1,11.1981
32816,Diane Maloney,Female,42,Dinner,Yes,Yes,Chinese,Dumpling,Yes,Room,Subarban,Free,0.0,Car,Small,High,Good,2023-01-05 09:05:12,2023-01-05 09:10:01,2023-01-05 09:18:01,2023-01-05 09:33:07,27,9.72,4,,3.99,38.88,4.276800000000001,5.6376,52.784400000000005,16,12,14,2,155.8116
98352,Steven Marshall,Male,60,Dinner,No,No,Chinese,Kung Pao Chicken,Yes,Room,Urban,Free,0.0,Car,Small,High,Good,2023-01-12 13:22:11,2023-01-12 13:27:55,2023-01-12 13:37:41,2023-01-12 13:50:19,28,15.52,2,,3.99,31.04,3.4144,4.5008,42.9452,3,4,3,0,53.3112
65592,Matthew Snyder,Male,41,Lunch,No,Yes,Indian,Lassi,Yes,Cold,Urban,Free,0.0,Car,Medium,High,Good,2023-01-11 00:33:49,2023-01-11 00:38:20,2023-01-11 00:46:46,2023-01-11 01:00:32,26,4.6,5,,3.99,23.0,2.53,3.335,32.855000000000004,19,6,18,1,94.806
32825,Dorothy Hughes,Female,39,Dinner,No,Yes,Chinese,Soy Milk,Yes,Room,Urban,Monthly Basic,4.99,Car,Large,Low,Bad,2023-01-09 19:14:13,2023-01-09 19:17:02,2023-01-09 19:27:01,2023-01-09 19:41:03,26,3.79,1,1.99,,3.79,0.4169,0.54955,,1,17,1,0,4.33955
65596,Ashley Claussen,Female,39,Lunch,Yes,No,Italian,Gelato,Yes,Cold,Urban,Premium,101.9,Car,Small,High,Good,2023-01-12 12:45:25,2023-01-12 12:50:43,2023-01-12 12:58:11,2023-01-12 13:08:29,23,1.02,3,0.0,,3.06,0.3366,0.4437,,13,11,13,0,15.1827
98369,Larry Taylor,Male,27,Dinner,Yes,No,Chinese,Jasmine Tea,No,Hot,Urban,Monthly Basic,4.99,Bike,Medium,Low,Bad,2023-01-09 07:38:43,2023-01-09 07:40:47,2023-01-09 07:48:41,2023-01-09 08:01:58,23,4.26,2,2.99,,8.52,0.9371999999999999,1.2353999999999998,,7,12,5,2,24.388499999999997
65604,Eric Mara,Male,35,Dinner,Yes,Yes,Chinese,Soy Milk,Yes,Cold,Urban,Basic,50.9,Bike,Small,High,Good,2023-01-07 16:21:56,2023-01-07 16:26:56,2023-01-07 16:37:53,2023-01-07 16:50:10,28,2.26,4,2.99,,9.04,0.9944,1.3107999999999997,,17,6,16,1,41.4032
32853,Nancy Wolfe,Female,31,Lunch,No,Yes,Indian,Palak Paneer,Yes,Cold,Urban,Monthly Premium,9.99,Bike,Small,Low,Bad,2023-01-25 12:08:26,2023-01-25 12:11:40,2023-01-25 12:22:38,2023-01-25 12:35:13,26,9.52,4,0.0,,38.08,4.1888,5.521599999999999,,19,12,13,6,141.7052
98395,Lucy Doctor,Female,31,Breakfast,No,Yes,Italian,Pasta,No,Hot,Urban,Basic,50.9,Car,Small,High,Good,2023-01-22 09:15:16,2023-01-22 09:17:53,2023-01-22 09:28:37,2023-01-22 09:42:20,27,8.97,2,1.99,,17.94,1.9734,2.6013,,17,10,12,5,123.24780000000001
98397,Jamie Alm,Female,41,Breakfast,No,Yes,Thai,Thai Iced Tea,Yes,Cold,Subarban,Basic,50.9,Bike,Large,High,Good,2023-01-31 22:07:32,2023-01-31 22:12:21,2023-01-31 22:22:01,2023-01-31 22:35:31,27,4.49,2,1.99,,8.98,0.9878,1.3021,,13,5,12,1,61.6926
32862,Regina Turk,Female,22,Breakfast,No,Yes,Chinese,Noodles,Yes,Hot,Rural,Monthly Premium,9.99,Car,Large,High,Good,2023-01-06 04:33:34,2023-01-06 04:35:54,2023-01-06 04:44:36,2023-01-06 04:57:08,23,11.37,2,0.0,,22.74,2.5014,3.2972999999999995,,17,11,12,5,156.22379999999998
32868,Anne Glover,Female,41,Lunch,No,Yes,Indian,Masala Chai,Yes,Hot,Rural,Monthly Premium,9.99,Bike,Medium,High,Good,2023-01-31 03:55:56,2023-01-31 04:01:29,2023-01-31 04:12:05,2023-01-31 04:25:47,29,2.49,4,0.0,,9.96,1.0956000000000001,1.4442,,1,2,0,1,0.0
98406,Christopher Beaudoin,Female,18,Dinner,Yes,Yes,Indian,Masala Chai,Yes,Room,Subarban,Monthly Premium,9.99,Bike,Medium,High,Good,2023-01-26 01:23:36,2023-01-26 01:28:17,2023-01-26 01:35:58,2023-01-26 01:48:23,24,3.48,4,0.0,,13.92,1.5312,2.0183999999999997,,9,2,8,1,31.8768
98409,Jennifer Walker,Female,43,Dinner,Yes,Yes,Japanese,Matcha Tea,No,Room,Urban,Free,0.0,Bike,Large,Low,Bad,2023-01-25 12:35:32,2023-01-25 12:41:03,2023-01-25 12:49:59,2023-01-25 13:05:24,29,3.58,3,,3.99,10.74,1.1814,1.5573,17.4687,2,10,1,1,4.0991
32877,Cora Penton,Female,38,Breakfast,Yes,No,Italian,Prosecco,No,Cold,Urban,Basic,50.9,Car,Medium,High,Good,2023-01-12 03:06:58,2023-01-12 03:10:14,2023-01-12 03:18:07,2023-01-12 03:29:05,22,29.18,4,1.99,,116.72,12.8392,16.9244,,16,5,16,0,534.5776
32878,Elizabeth Weidler,Female,41,Dinner,Yes,Yes,Indian,Masala Chai,No,Hot,Urban,Basic,50.9,Car,Small,High,Good,2023-01-22 12:19:43,2023-01-22 12:21:48,2023-01-22 12:29:44,2023-01-22 12:40:39,20,2.2,1,2.99,,2.2,0.24200000000000002,0.319,,4,8,2,2,5.038
65647,Krissy Fuller,Female,39,Lunch,Yes,No,Thai,Hot Soup,Yes,Room,Urban,Basic,50.9,Car,Small,High,Good,2023-01-16 21:08:35,2023-01-16 21:11:08,2023-01-16 21:20:16,2023-01-16 21:30:57,22,5.18,3,2.99,,15.54,1.7093999999999998,2.2533,,1,2,0,1,0.0
98416,Amanda Bowl,Female,21,Lunch,No,Yes,Italian,Gelato,Yes,Hot,Subarban,Premium,101.9,Bike,Small,Low,Bad,2023-01-11 18:56:18,2023-01-11 18:59:13,2023-01-11 19:08:35,2023-01-11 19:20:30,24,1.12,4,0.0,,4.48,0.49280000000000007,0.6496000000000001,,18,3,16,2,20.518400000000003
98420,Doris Simonsen,Female,14,Lunch,Yes,No,Mexican,Horchata,Yes,Room,Urban,Basic,50.9,Bike,Medium,Low,Bad,2023-01-29 17:18:32,2023-01-29 17:20:35,2023-01-29 17:31:07,2023-01-29 17:44:25,25,4.43,4,2.99,,17.72,1.9491999999999998,2.5693999999999995,,14,1,12,2,60.868199999999995
98425,Amanda Ward,Female,43,Lunch,No,Yes,Greek,Moussaka,Yes,Hot,Urban,Free,0.0,Car,Medium,High,Good,2023-01-07 02:00:47,2023-01-07 02:02:58,2023-01-07 02:10:43,2023-01-07 02:21:53,21,13.08,4,,3.99,52.32,5.7552,7.586399999999999,69.6516,5,14,3,2,44.9298
98430,Peter Cosme,Male,29,Lunch,No,No,Thai,Coconut Water,Yes,Hot,Subarban,Monthly Basic,4.99,Car,Small,Low,Bad,2023-01-26 10:12:13,2023-01-26 10:17:53,2023-01-26 10:28:02,2023-01-26 10:41:25,29,3.03,1,0.99,,3.03,0.3333,0.43934999999999996,,1,6,1,0,3.46935
65662,Daniel Johnson,Male,62,Lunch,Yes,No,Italian,Pizza,Yes,Room,Urban,Monthly Basic,4.99,Car,Small,High,Good,2023-01-01 08:38:45,2023-01-01 08:41:36,2023-01-01 08:50:56,2023-01-01 09:03:40,24,16.51,3,0.99,,49.53,5.448300000000001,7.18185,,8,13,7,1,132.32765
32905,Gerry Amberg,Male,33,Breakfast,Yes,Yes,Greek,Moussaka,No,Room,Urban,Premium,101.9,Car,Small,High,Good,2023-01-30 22:54:25,2023-01-30 22:56:44,2023-01-30 23:04:37,2023-01-30 23:18:34,24,18.61,1,0.0,,18.61,2.0471,2.69845,,17,3,14,3,298.31829999999997
98441,Hisako Hughes,Female,29,Lunch,Yes,Yes,Indian,Tandoori Chicken,Yes,Room,Urban,Free,0.0,Car,Medium,High,Good,2023-01-03 23:32:49,2023-01-03 23:36:25,2023-01-03 23:46:40,2023-01-04 00:01:22,28,10.96,4,,4.99,43.84,4.8224,6.3568,60.00920000000001,3,10,2,1,25.0984
32909,Brock Baiz,Male,51,Dinner,No,Yes,Chinese,Peking Duck,Yes,Cold,Urban,Basic,50.9,Car,Small,Low,Bad,2023-01-16 15:57:28,2023-01-16 16:00:05,2023-01-16 16:07:27,2023-01-16 16:21:02,23,27.81,2,2.99,,55.62,6.1182,8.0649,,8,12,8,0,254.7396
98449,Thomas Morales,Male,38,Dinner,No,Yes,Thai,Hot Soup,No,Room,Subarban,Premium,101.9,Car,Small,High,Good,2023-01-07 10:57:47,2023-01-07 11:01:04,2023-01-07 11:09:15,2023-01-07 11:22:32,24,6.08,3,0.0,,18.240000000000002,2.0064,2.6448,,17,6,17,0,118.3472
65685,Tina Nekola,Female,28,Lunch,Yes,Yes,Italian,Prosecco,Yes,Hot,Urban,Monthly Basic,4.99,Car,Small,Low,Bad,2023-01-08 11:10:42,2023-01-08 11:14:31,2023-01-08 11:24:43,2023-01-08 11:39:41,28,21.41,1,1.99,,21.41,2.3551,3.10445,,10,2,7,3,171.60115000000002
98461,Barbara Parham,Female,25,Dinner,No,No,Japanese,Matcha Tea,Yes,Hot,Urban,Free,0.0,Bike,Large,Low,Bad,2023-01-01 17:27:54,2023-01-01 17:32:24,2023-01-01 17:41:12,2023-01-01 17:54:11,26,3.11,4,,3.99,12.44,1.3684,1.8037999999999998,19.602199999999996,9,12,7,2,24.92665
65695,Stacy Tardiff,Male,33,Dinner,Yes,Yes,Japanese,Tempura,No,Room,Subarban,Basic,50.9,Bike,Medium,High,Good,2023-01-30 15:15:56,2023-01-30 15:21:03,2023-01-30 15:30:00,2023-01-30 15:43:43,27,13.4,4,0.99,,53.6,5.896,7.771999999999999,,6,3,6,0,92.058
32932,Brett Johnson,Male,58,Lunch,Yes,No,Chinese,Soy Milk,Yes,Hot,Urban,Free,0.0,Bike,Small,Low,Bad,2023-01-20 06:51:46,2023-01-20 06:56:30,2023-01-20 07:03:41,2023-01-20 07:14:52,23,3.28,4,,3.99,13.12,1.4431999999999998,1.9023999999999996,20.455599999999997,7,2,4,3,15.0224
65702,Brandon Martin,Male,40,Lunch,Yes,Yes,Japanese,Tempura,Yes,Room,Subarban,Basic,50.9,Car,Large,High,Good,2023-01-10 07:12:05,2023-01-10 07:16:29,2023-01-10 07:26:51,2023-01-10 07:39:57,27,15.5,1,2.99,,15.5,1.705,2.2475,,11,16,8,3,141.98
32937,Reda Davis,Female,45,Breakfast,Yes,Yes,Chinese,Hot pot,Yes,Hot,Urban,Premium,101.9,Car,Small,High,Good,2023-01-01 16:48:26,2023-01-01 16:50:54,2023-01-01 16:58:23,2023-01-01 17:13:23,24,40.86,3,0.0,,122.58,13.4838,17.774099999999997,,11,5,10,1,467.84700000000004
65709,Kevin Johannes,Male,17,Dinner,No,Yes,Italian,Limoncello,No,Cold,Urban,Premium,101.9,Car,Small,High,Good,2023-01-14 07:48:35,2023-01-14 07:52:22,2023-01-14 08:01:56,2023-01-14 08:14:54,26,14.1,3,0.0,,42.3,4.653,6.133499999999999,,15,6,13,2,209.87849999999997
32942,Gerald Scarberry,Male,27,Dinner,Yes,Yes,Italian,Tiramisu,Yes,Cold,Rural,Free,0.0,Car,Large,High,Good,2023-01-02 15:56:36,2023-01-02 16:00:18,2023-01-02 16:10:47,2023-01-02 16:23:05,26,11.69,2,,3.99,23.38,2.5718,3.3900999999999994,33.3319,18,4,14,4,187.39069999999998
98477,Victoria Simon,Female,36,Lunch,No,Yes,Indian,Tandoori Chicken,No,Room,Rural,Free,0.0,Car,Medium,High,Good,2023-01-27 12:46:57,2023-01-27 12:50:47,2023-01-27 12:58:46,2023-01-27 13:12:39,25,19.83,3,,4.99,59.489999999999995,6.5439,8.62605,79.64994999999998,3,10,2,1,45.4107
98482,Carey Longo,Male,29,Breakfast,Yes,Yes,Mexican,Horchata,No,Hot,Rural,Monthly Premium,9.99,Car,Large,Low,Bad,2023-01-27 22:29:16,2023-01-27 22:32:48,2023-01-27 22:42:10,2023-01-27 22:55:48,26,3.86,3,0.0,,11.58,1.2738,1.6790999999999998,,6,16,4,2,17.6788
32950,James Toombs,Male,15,Dinner,Yes,No,Chinese,Kung Pao Chicken,Yes,Hot,Urban,Free,0.0,Car,Large,High,Good,2023-01-20 13:21:48,2023-01-20 13:25:23,2023-01-20 13:33:14,2023-01-20 13:48:47,26,11.73,4,,4.99,46.92,5.1612,6.8034,63.87460000000001,8,13,8,0,107.4468
98490,Richard Elliott,Male,38,Lunch,Yes,No,Mexican,Enchiladas,No,Hot,Urban,Basic,50.9,Car,Large,High,Good,2023-01-19 21:26:12,2023-01-19 21:30:24,2023-01-19 21:39:17,2023-01-19 21:54:25,28,12.75,4,0.99,,51.0,5.61,7.395,,11,14,7,4,102.19125
32955,Wilma Hansen,Female,31,Dinner,No,No,Indian,Palak Paneer,No,Hot,Urban,Free,0.0,Bike,Small,High,Good,2023-01-13 13:42:18,2023-01-13 13:45:03,2023-01-13 13:55:57,2023-01-13 14:09:13,26,9.2,5,,4.99,46.0,5.06,6.67,62.720000000000006,12,1,12,0,126.40799999999999
98492,Juan Miller,Male,33,Dinner,No,Yes,Italian,Pizza,Yes,Hot,Urban,Monthly Premium,9.99,Bike,Large,High,Good,2023-01-09 20:47:44,2023-01-09 20:52:22,2023-01-09 20:59:31,2023-01-09 21:14:45,27,25.45,1,0.0,,25.45,2.7995,3.69025,,1,13,1,0,29.140249999999998
65727,Dale Laskey,Female,29,Dinner,No,Yes,Greek,Ice-cream,Yes,Cold,Urban,Premium,101.9,Car,Medium,High,Good,2023-01-08 13:48:41,2023-01-08 13:52:51,2023-01-08 14:01:24,2023-01-08 14:12:57,24,3.49,1,0.0,,3.49,0.3839,0.50605,,9,11,9,0,35.96445000000001
98501,Judith Ross,Female,33,Lunch,Yes,Yes,Thai,Spring Roll,Yes,Hot,Urban,Basic,50.9,Bike,Small,Low,Bad,2023-01-19 16:46:09,2023-01-19 16:51:41,2023-01-19 16:59:26,2023-01-19 17:11:33,25,4.62,3,1.99,,13.86,1.5246,2.0096999999999996,,2,4,2,0,10.5798
98505,William Naylor,Male,40,Dinner,No,Yes,Italian,Lasagna,Yes,Hot,Urban,Basic,50.9,Car,Medium,High,Good,2023-01-18 21:33:29,2023-01-18 21:37:24,2023-01-18 21:48:09,2023-01-18 22:01:11,27,12.68,2,1.99,,25.36,2.7896,3.6771999999999996,,7,0,5,2,72.593
98510,Evelyn Scott,Female,51,Breakfast,No,No,Indian,Palak Paneer,Yes,Cold,Urban,Basic,50.9,Bike,Medium,Low,Bad,2023-01-01 20:25:31,2023-01-01 20:29:19,2023-01-01 20:36:48,2023-01-01 20:47:29,21,12.68,4,2.99,,50.72,5.5792,7.354399999999999,,16,6,11,5,159.7046
98512,Mary Ruse,Female,30,Lunch,No,No,Italian,Lasagna,Yes,Hot,Urban,Free,0.0,Car,Small,High,Good,2023-01-04 17:31:32,2023-01-04 17:33:34,2023-01-04 17:41:13,2023-01-04 17:55:02,23,18.64,4,,5.99,74.56,8.201600000000001,10.8112,99.5628,4,11,4,0,85.3712
65745,Robert Carter,Male,26,Dinner,Yes,No,Greek,Ice-cream,Yes,Cold,Subarban,Free,0.0,Bike,Large,High,Good,2023-01-27 23:42:04,2023-01-27 23:46:15,2023-01-27 23:55:25,2023-01-28 00:07:01,24,3.47,1,,3.99,3.47,0.38170000000000004,0.50315,8.344850000000001,16,7,10,6,39.731500000000004
65749,Matthew Smith,Male,32,Dinner,Yes,No,Indian,Palak Paneer,No,Cold,Urban,Monthly Basic,4.99,Bike,Large,Low,Bad,2023-01-08 17:10:41,2023-01-08 17:16:03,2023-01-08 17:26:27,2023-01-08 17:39:22,28,13.13,1,0.99,,13.13,1.4443000000000001,1.90385,,16,8,12,4,180.4062
32988,Richard Lopez,Male,33,Breakfast,No,No,Italian,Tiramisu,Yes,Cold,Urban,Monthly Basic,4.99,Car,Small,High,Good,2023-01-22 13:00:22,2023-01-22 13:03:29,2023-01-22 13:14:00,2023-01-22 13:26:06,25,10.42,3,1.99,,31.259999999999998,3.4385999999999997,4.532699999999999,,11,3,7,4,83.5163
65761,Edna Soto,Female,19,Dinner,Yes,No,Italian,Tiramisu,No,Cold,Subarban,Premium,101.9,Bike,Medium,High,Good,2023-01-16 13:05:42,2023-01-16 13:08:31,2023-01-16 13:18:31,2023-01-16 13:32:38,26,8.7,4,0.0,,34.8,3.828,5.045999999999999,,4,17,2,2,19.923
32998,Barbara Walker,Female,23,Lunch,Yes,No,Chinese,Hot pot,Yes,Cold,Urban,Basic,50.9,Car,Large,Low,Bad,2023-01-31 13:07:38,2023-01-31 13:10:38,2023-01-31 13:18:55,2023-01-31 13:31:26,23,43.08,3,2.99,,129.24,14.216400000000002,18.7398,,4,2,3,1,147.9798
33002,Krystal Bullock,Female,42,Dinner,No,Yes,Italian,Gelato,No,Hot,Urban,Free,0.0,Car,Medium,Low,Bad,2023-01-31 20:45:54,2023-01-31 20:48:33,2023-01-31 20:56:59,2023-01-31 21:11:42,25,2.04,2,,5.99,4.08,0.44880000000000003,0.5916,11.1104,19,3,16,3,37.3728
98541,Juan Worden,Male,36,Lunch,Yes,No,Thai,Pad Thai,Yes,Cold,Rural,Monthly Basic,4.99,Car,Small,Low,Bad,2023-01-03 05:47:22,2023-01-03 05:49:31,2023-01-03 05:58:17,2023-01-03 06:08:30,21,8.37,5,1.99,,41.849999999999994,4.6034999999999995,6.068249999999999,,7,9,5,2,47.91824999999999
33007,Tracy Seager,Female,45,Dinner,No,No,Chinese,Soy Milk,Yes,Hot,Urban,Premium,101.9,Car,Small,Low,Bad,2023-01-02 15:07:49,2023-01-02 15:13:05,2023-01-02 15:24:01,2023-01-02 15:37:01,29,3.86,4,0.0,,15.44,1.6984,2.2388,,8,0,6,2,26.5182
65779,Nisha Garcia,Female,35,Dinner,Yes,No,Thai,Spring Roll,No,Room,Urban,Monthly Basic,4.99,Bike,Small,Low,Bad,2023-01-07 10:32:38,2023-01-07 10:35:01,2023-01-07 10:43:26,2023-01-07 10:56:04,23,5.63,4,1.99,,22.52,2.4772,3.2653999999999996,,17,5,13,4,83.80255
33016,Patricia Mero,Female,13,Lunch,No,Yes,Chinese,Peking Duck,Yes,Room,Subarban,Basic,50.9,Bike,Large,High,Good,2023-01-13 22:03:28,2023-01-13 22:07:51,2023-01-13 22:15:01,2023-01-13 22:28:28,25,31.13,5,0.99,,155.65,17.1215,22.56925,,5,14,5,0,178.21925000000002
65787,Mary Mclanahan,Female,42,Lunch,Yes,No,Thai,Pad Thai,Yes,Cold,Urban,Monthly Basic,4.99,Bike,Medium,Low,Bad,2023-01-08 09:53:50,2023-01-08 09:57:36,2023-01-08 10:06:26,2023-01-08 10:17:49,23,13.24,3,2.99,,39.72,4.3692,5.759399999999999,,3,13,2,1,30.3196
65788,Sondra Long,Female,51,Breakfast,No,Yes,Chinese,Noodles,No,Hot,Subarban,Premium,101.9,Car,Large,High,Good,2023-01-29 09:22:15,2023-01-29 09:24:36,2023-01-29 09:34:31,2023-01-29 09:45:00,22,12.2,2,0.0,,24.4,2.6839999999999997,3.5379999999999994,,7,10,5,2,69.845
98556,Brandon Bass,Male,25,Lunch,Yes,Yes,Japanese,Udon,Yes,Room,Rural,Basic,50.9,Bike,Medium,High,Good,2023-01-11 04:43:57,2023-01-11 04:46:39,2023-01-11 04:55:57,2023-01-11 05:11:29,27,11.22,1,1.99,,11.22,1.2342000000000002,1.6269,,11,12,11,0,141.3159
65792,Raul Bradley,Male,19,Dinner,Yes,No,Italian,Lasagna,Yes,Cold,Urban,Basic,50.9,Car,Small,Low,Bad,2023-01-21 01:49:36,2023-01-21 01:52:37,2023-01-21 02:00:02,2023-01-21 02:15:19,25,18.02,2,1.99,,36.04,3.9644,5.2258,,7,16,6,1,123.79740000000001
98560,Tim Little,Male,14,Dinner,Yes,Yes,Chinese,Noodles,No,Hot,Subarban,Monthly Basic,4.99,Car,Medium,High,Good,2023-01-13 18:15:20,2023-01-13 18:19:15,2023-01-13 18:28:56,2023-01-13 18:41:25,26,9.94,5,2.99,,49.699999999999996,5.467,7.206499999999999,,1,4,1,0,11.3813
98562,Ashley Defir,Female,38,Lunch,Yes,Yes,Chinese,Hot pot,Yes,Hot,Urban,Monthly Basic,4.99,Car,Small,High,Good,2023-01-18 20:39:44,2023-01-18 20:45:23,2023-01-18 20:53:06,2023-01-18 21:08:32,28,30.01,4,1.99,,120.04,13.204400000000001,17.4058,,14,12,13,1,446.69885
65805,Mary Paquette,Female,48,Breakfast,Yes,Yes,Thai,Pad Thai,No,Hot,Urban,Free,0.0,Bike,Large,High,Good,2023-01-20 04:39:21,2023-01-20 04:45:20,2023-01-20 04:54:40,2023-01-20 05:09:32,30,13.06,2,,5.99,26.12,2.8732,3.7874,38.7706,2,2,1,1,14.953700000000001
65806,Josephine Edwards,Female,15,Dinner,No,Yes,Japanese,Ramune Soda,No,Cold,Subarban,Free,0.0,Bike,Large,High,Good,2023-01-08 13:11:15,2023-01-08 13:15:10,2023-01-08 13:25:00,2023-01-08 13:35:11,23,2.87,5,,5.99,14.350000000000001,1.5785000000000002,2.08075,23.999250000000004,13,11,11,2,36.14765
